Date,Open,High,Low,Close,Adj Close,Volume,Days
2020-12-02,335.220001,337.109985,334.649994,337.01001,325.568909,2270300,707
2020-12-03,336.910004,338.299988,335.880005,336.910004,325.472351,2851100,708
2020-12-04,337.5,339.839996,337.450012,339.809998,328.273865,2907000,709
2020-12-07,339.070007,339.630005,337.910004,339.179993,327.665222,1943100,710
2020-12-08,337.890015,340.700012,337.850006,340.160004,328.611938,1948200,711
2020-12-09,340.790009,340.929993,336.26001,337.140015,325.694519,2545800,712
2020-12-10,335.73999,338,334.839996,336.980011,325.539917,2738600,713
2020-12-11,335.309998,336.799988,333.769989,336.549988,325.124481,2387900,714
2020-12-14,338.76001,339.790009,334.890015,335.01001,323.63678,2654600,715
2020-12-15,337.640015,339.640015,336.23999,339.640015,328.10965,2757400,716
2020-12-16,339.829987,341.040009,338.959991,340.160004,328.611938,2943200,717
2020-12-17,341.769989,342.25,340.959991,342.01001,330.39917,2627000,718
2020-12-18,342.390015,342.5,338.700012,340.640015,329.075653,6025700,719
2020-12-21,336.829987,340.380005,334.109985,339.589996,328.061279,3918100,720
2020-12-22,338.470001,338.549988,336.470001,337.540009,327.414337,2371900,721
2020-12-23,338.540009,339.75,337.690002,337.809998,327.676208,3682200,722
2020-12-24,338.369995,339.179993,337.769989,339.160004,328.985718,1447500,723
2020-12-28,341.73999,342.459991,341.089996,342.109985,331.847229,2798800,724
2020-12-29,343.630005,343.769989,340.869995,341.390015,331.148865,2555500,725
2020-12-30,342.279999,342.910004,341.570007,341.850006,331.595062,2009100,726
2020-12-31,341.820007,344.369995,341.230011,343.690002,333.379822,3507000,727
2021-01-04,345.019989,345.089996,335.369995,339.029999,328.859589,5402600,728
2021-01-05,338.399994,342.390015,338.390015,341.26001,331.022766,3299700,729
2021-01-06,339.790009,346.5,339.299988,343.329987,333.030579,4805000,730
2021-01-07,345.73999,349.200012,345.540009,348.459991,338.006744,3638900,731
2021-01-08,349.880005,350.619995,346.640015,350.420013,339.907928,3758500,732
2021-01-11,347.359985,349.820007,347.200012,348.130005,337.686646,2975000,733
2021-01-12,348.299988,349.149994,345.970001,348.160004,337.71579,2298400,734
2021-01-13,348.109985,350.059998,347.320007,349.029999,338.559631,3039900,735
2021-01-14,349.850006,350.320007,347.549988,347.850006,337.415039,3497400,736
2021-01-15,346.269989,347.059998,343.529999,345.369995,335.009399,3622100,737
2021-01-19,347.799988,348.589996,346.359985,348.100006,337.657501,3433800,738
2021-01-20,350.320007,353.709991,349.970001,352.829987,342.245667,2920600,739
2021-01-21,353.459991,353.839996,352.299988,353.160004,342.565735,2580800,740
2021-01-22,351.380005,353.040009,350.98999,351.899994,341.343506,1812200,741
2021-01-25,352.709991,353.679993,347.970001,353.329987,342.730621,3549000,742
2021-01-26,354.230011,354.649994,352.600006,352.799988,342.216492,2430200,743
2021-01-27,349.540009,349.559998,341.98999,344.23999,333.9133,5010400,744
2021-01-28,345.970001,351.070007,345.579987,347.130005,336.716614,3432200,745
2021-01-29,345.309998,346.220001,338.570007,340.179993,329.975128,5803600,746
2021-02-01,343.630005,346.850006,341.399994,345.769989,335.39743,3334000,747
2021-02-02,349.049988,352.339996,349,350.73999,340.218353,2955200,748
2021-02-03,351.700012,352.799988,349.880005,351.089996,340.557831,3392800,749
2021-02-04,352.119995,355.040009,351.920013,355.019989,344.369965,1988300,750
2021-02-05,356.899994,357.130005,355.320007,356.440002,345.747345,2091800,751
2021-02-08,357.920013,359.070007,357.059998,359.070007,348.298462,3371100,752
2021-02-09,358.220001,359.329987,357.769989,358.779999,348.017151,1891200,753
2021-02-10,360.529999,360.609985,356.299988,358.640015,347.881378,2400000,754
2021-02-11,359.709991,360.100006,356.839996,359.220001,348.44397,2237200,755
2021-02-12,358.450012,361.190002,358.359985,361.049988,350.219025,2144500,756
2021-02-16,362.149994,362.369995,359.980011,360.709991,349.889282,4408500,757
2021-02-17,359.029999,360.970001,357.920013,360.790009,349.966827,3211800,758
2021-02-18,358.23999,359.929993,356.48999,359.25,348.473022,3010500,759
2021-02-19,360.470001,360.709991,358.140015,358.589996,347.832825,2487100,760
2021-02-22,355.839996,358.190002,355.559998,355.769989,345.097412,3291000,761
2021-02-23,353.690002,357.559998,349.529999,356.220001,345.533936,5251100,762
2021-02-24,355.149994,360.579987,354.200012,360.160004,349.355774,3301200,763
2021-02-25,359.029999,360.269989,350.079987,351.519989,340.974915,7049200,764
2021-02-26,353.470001,354.470001,347.709991,349.589996,339.102844,7579500,765
2021-03-01,354.549988,359.390015,354.5,358.119995,347.376923,3721100,766
2021-03-02,358.380005,358.630005,355.160004,355.350006,344.690033,5462600,767
2021-03-03,354.700012,355.640015,350.559998,350.660004,340.140778,6317600,768
2021-03-04,350.48999,353.019989,341.920013,346.339996,335.950287,6604500,769
2021-03-05,349.769989,353.730011,342.589996,352.690002,342.109833,8721300,770
2021-03-08,353.630005,356.399994,350.660004,350.959991,340.431763,5663500,771
2021-03-09,354.75,358.459991,354.230011,355.869995,345.194427,6075100,772
2021-03-10,358.299988,359.839996,356.880005,358.070007,347.328461,7231400,773
2021-03-11,360.660004,363.76001,360.160004,361.850006,350.995087,3340700,774
2021-03-12,360.5,362.450012,359.670013,362.359985,351.489777,4847300,775
2021-03-15,362.670013,364.75,360.450012,364.459991,353.526733,3154800,776
2021-03-16,365.119995,365.779999,363.25,364.049988,353.129059,3698400,777
2021-03-17,362.829987,366.049988,361.619995,365.23999,354.283386,5011600,778
2021-03-18,362.730011,364.76001,359.279999,359.869995,349.074432,5067500,779
2021-03-19,359.649994,361.170013,357.140015,359.230011,348.453674,5382800,780
2021-03-22,359.790009,363.5,359.76001,362.070007,351.208466,3417600,781
2021-03-23,361.529999,362.940002,358.51001,359.410004,348.628265,4954600,782
2021-03-24,360.709991,362.269989,357.420013,357.420013,346.697968,4099000,783
2021-03-25,356.079987,360.23999,354.140015,359.429993,348.647644,5487300,784
2021-03-26,359.369995,364.369995,358.75,364.01001,354.335358,3322600,785
2021-03-29,362.570007,364.679993,361.109985,363.790009,354.121185,3143300,786
2021-03-30,362.559998,363.470001,361.269989,362.859985,353.215912,3696200,787
2021-03-31,363.390015,365.820007,363.390015,364.299988,354.617615,7470300,788
2021-04-01,366.200012,368.290009,366.029999,368.160004,358.375031,5132000,789
2021-04-05,370.890015,374.070007,370.809998,373.470001,363.543884,3764100,790
2021-04-06,373.040009,374.329987,372.670013,373.26001,363.339508,3583500,791
2021-04-07,373.140015,374.079987,372.720001,373.730011,363.796997,2768900,792
2021-04-08,374.970001,375.559998,374.059998,375.549988,365.568634,3949400,793
2021-04-09,375.420013,378.399994,375.329987,378.25,368.196869,2627500,794
2021-04-12,377.700012,378.649994,377.079987,378.420013,368.362366,2747500,795
2021-04-13,378.369995,380.119995,377.920013,379.450012,369.36499,2985500,796
2021-04-14,379.459991,380.51001,377.700012,378.230011,368.177399,3691100,797
